epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,cumulative_time_sec
1,0.037162,9.93,2.302604,10.00,301.33,301.33
2,0.036015,9.95,2.302609,10.00,298.72,600.05
3,0.036014,9.86,2.302614,10.00,296.62,896.67
4,0.036014,9.88,2.302623,10.00,300.55,1197.22
5,0.036015,9.74,2.302593,10.00,302.54,1499.76
6,0.036014,10.03,2.302623,10.00,302.08,1801.85
7,0.036015,9.83,2.302606,10.00,302.18,2104.03
8,0.036014,9.89,2.302642,10.00,301.78,2405.81
9,0.036014,9.80,2.302614,10.00,299.02,2704.83
10,0.036015,9.75,2.302604,10.00,301.62,3006.45
11,0.036014,9.75,2.302615,10.00,299.63,3306.09
12,0.036014,9.70,2.302626,10.00,287.24,3593.33
13,0.036015,9.77,2.302618,10.00,295.59,3888.91
14,0.036015,9.54,2.302597,10.00,298.20,4187.12
15,0.036014,9.84,2.302606,10.00,299.28,4486.40
16,0.036015,9.75,2.302600,10.00,297.14,4783.54
17,0.036014,9.82,2.302600,10.00,301.08,5084.62
18,0.036014,9.76,2.302625,10.00,300.50,5385.11
19,0.036014,9.90,2.302599,10.00,298.80,5683.91
20,0.036014,9.79,2.302602,10.00,301.21,5985.13
21,0.036014,9.84,2.302618,10.00,298.97,6284.10
