epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,cumulative_time_sec
1,0.013835,34.01,1.365397,49.05,17.37,17.37
2,0.012064,42.54,1.256254,54.05,16.89,34.27
3,0.011512,45.40,1.148420,59.20,16.89,51.16
4,0.011020,48.11,1.140049,61.10,16.61,67.77
5,0.010700,49.82,1.068825,61.65,16.55,84.32
6,0.010514,50.75,1.076968,61.30,17.06,101.38
7,0.010242,52.31,0.995682,63.90,16.90,118.28
8,0.010039,53.03,0.996578,63.80,16.66,134.94
9,0.009892,54.08,0.966083,65.60,17.80,152.74
10,0.009770,54.73,0.951260,66.85,17.65,170.39
11,0.009277,57.06,0.885348,69.30,17.06,187.46
12,0.009197,57.44,0.883830,69.85,17.19,204.64
13,0.009093,57.83,0.868074,69.60,17.12,221.76
14,0.009069,58.10,0.866062,70.30,17.66,239.42
15,0.009070,57.94,0.863402,69.95,17.84,257.26
16,0.009013,58.42,0.860178,70.00,17.38,274.63
17,0.008959,58.82,0.859601,70.45,17.48,292.11
18,0.008950,58.33,0.852747,69.95,16.94,309.05
19,0.008928,58.67,0.850798,70.55,17.28,326.33
20,0.008898,58.81,0.861258,70.90,17.17,343.50
21,0.008832,59.41,0.847046,70.85,17.34,360.84
22,0.008821,59.27,0.845535,70.55,17.19,378.04
23,0.008857,59.06,0.845005,71.10,17.26,395.30
24,0.008882,59.07,0.844501,71.05,17.51,412.81
25,0.008770,59.38,0.842185,71.35,17.33,430.14
26,0.008835,59.18,0.842959,71.00,17.21,447.35
27,0.008783,59.41,0.842479,70.95,16.97,464.33
28,0.008762,59.69,0.843636,71.15,16.80,481.13
29,0.008815,59.06,0.842006,71.10,16.85,497.98
30,0.008793,59.52,0.840837,71.55,16.90,514.88
31,0.008852,59.27,0.842197,71.35,16.13,531.01
32,0.008828,59.23,0.842234,71.05,16.12,547.13
33,0.008801,59.32,0.839949,70.85,16.14,563.27
34,0.008793,59.37,0.840702,71.30,16.02,579.29
35,0.008790,59.52,0.840550,71.00,15.74,595.03
36,0.008779,59.42,0.840317,71.40,15.33,610.36
37,0.008792,59.63,0.841453,70.95,15.35,625.71
38,0.008787,59.52,0.840569,70.90,15.13,640.84
39,0.008788,59.65,0.840741,71.30,15.42,656.26
40,0.008833,59.14,0.840551,71.15,15.10,671.36
41,0.008785,59.24,0.840481,71.45,15.26,686.62
42,0.008776,59.72,0.840572,71.10,15.24,701.86
43,0.008832,59.41,0.840988,71.10,15.47,717.33
44,0.008796,59.32,0.840544,71.15,15.21,732.53
45,0.008848,59.30,0.841030,71.45,15.29,747.82
46,0.008799,59.34,0.840410,71.35,15.18,763.01
47,0.008804,59.21,0.841096,71.00,15.19,778.20
48,0.008808,59.41,0.840640,71.05,15.23,793.43
49,0.008786,59.70,0.840997,71.15,15.40,808.82
50,0.008802,59.41,0.841597,71.30,15.33,824.16
51,0.008781,59.56,0.840453,71.00,15.35,839.51
52,0.008796,59.53,0.840681,71.20,15.17,854.68
53,0.008799,59.42,0.839933,71.35,15.19,869.87
54,0.008801,59.31,0.842017,71.15,15.17,885.04
55,0.008798,59.18,0.839875,71.20,15.39,900.44
