epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,cumulative_time_sec
1,0.014678,34.99,1.525528,52.65,22.22,22.22
2,0.012497,50.75,1.303375,61.80,21.13,43.35
3,0.011311,59.13,1.174639,69.35,20.99,64.34
4,0.010547,64.08,1.102516,73.55,20.98,85.32
5,0.010030,67.47,1.067927,74.55,21.09,106.41
6,0.009516,70.56,1.018748,78.00,20.94,127.35
7,0.009212,72.81,0.961877,80.45,21.08,148.42
8,0.008905,74.36,0.929537,81.20,21.12,169.54
9,0.008691,75.72,0.943903,81.80,21.59,191.13
10,0.008484,76.78,0.933198,81.45,22.08,213.21
11,0.008252,78.01,0.876711,83.80,21.25,234.46
12,0.008146,78.74,0.884472,83.75,21.12,255.59
13,0.007958,79.82,0.871123,84.30,21.08,276.66
14,0.007824,80.40,0.870491,85.10,21.08,297.74
15,0.007689,81.20,0.826782,85.70,20.67,318.42
16,0.007584,81.94,0.837954,84.95,20.78,339.19
17,0.007483,82.41,0.819830,85.90,20.93,360.12
18,0.007357,82.89,0.826978,85.60,20.80,380.92
19,0.007255,83.28,0.811453,86.55,20.78,401.70
20,0.007195,83.55,0.798951,86.95,20.91,422.61
21,0.007113,84.00,0.810654,86.75,20.77,443.38
22,0.007031,84.41,0.809572,86.65,20.81,464.19
23,0.006923,85.05,0.814057,86.35,20.79,484.98
24,0.006860,85.39,0.778050,87.95,20.89,505.87
25,0.006804,85.53,0.786354,87.85,20.85,526.72
26,0.006776,85.81,0.790709,86.90,20.83,547.56
27,0.006667,86.42,0.772311,88.15,22.63,570.18
28,0.006652,86.37,0.792414,87.15,22.43,592.62
29,0.006637,86.38,0.786887,87.30,22.38,615.00
30,0.006530,87.12,0.762156,88.55,22.85,637.85
31,0.006494,87.08,0.783908,88.25,22.91,660.75
32,0.006462,87.27,0.774260,88.95,23.09,683.85
33,0.006419,87.55,0.767283,88.00,23.07,706.91
34,0.006383,87.76,0.775303,88.45,22.71,729.63
35,0.006330,87.94,0.752032,89.20,22.78,752.41
36,0.006286,88.17,0.768283,89.00,22.95,775.36
37,0.006286,88.17,0.748437,89.05,22.48,797.84
38,0.006222,88.60,0.760785,89.30,20.77,818.61
39,0.006212,88.63,0.751485,89.45,20.76,839.37
40,0.006139,89.02,0.759522,89.25,20.77,860.14
41,0.006143,88.89,0.753134,89.00,20.83,880.97
42,0.006094,89.19,0.755208,89.60,20.78,901.75
43,0.006080,89.12,0.744743,89.75,20.77,922.52
44,0.006022,89.56,0.745472,89.75,20.85,943.37
45,0.006016,89.57,0.768194,88.65,20.75,964.13
46,0.005961,89.97,0.752176,89.95,20.72,984.85
47,0.005938,89.92,0.747526,89.55,20.83,1005.68
48,0.005927,90.12,0.742719,90.25,20.79,1026.47
49,0.005867,90.54,0.751248,89.65,20.73,1047.20
50,0.005870,90.34,0.745349,89.60,20.81,1068.01
51,0.005849,90.56,0.737684,90.05,20.80,1088.81
52,0.005813,90.76,0.734731,89.80,20.90,1109.70
53,0.005798,90.65,0.728645,90.50,20.70,1130.40
54,0.005776,91.03,0.745056,89.95,20.77,1151.17
55,0.005764,90.88,0.746489,89.65,21.27,1172.43
56,0.005709,91.28,0.754327,90.20,22.07,1194.50
57,0.005694,91.29,0.748111,90.10,22.09,1216.59
58,0.005689,91.37,0.747662,90.30,22.13,1238.72
59,0.005654,91.50,0.753095,89.90,22.14,1260.85
60,0.005670,91.42,0.728849,90.25,22.17,1283.02
61,0.005633,91.64,0.744309,90.25,22.19,1305.21
62,0.005644,91.68,0.736843,90.30,22.17,1327.38
63,0.005586,91.93,0.739125,90.35,22.25,1349.63
64,0.005553,91.99,0.722714,90.85,21.96,1371.58
65,0.005578,91.94,0.724863,91.00,22.41,1393.99
66,0.005538,92.13,0.727482,90.60,22.23,1416.23
67,0.005535,92.28,0.733739,90.30,22.05,1438.28
68,0.005502,92.27,0.729435,90.85,22.14,1460.42
69,0.005480,92.33,0.732444,91.05,22.30,1482.72
